"Brooklyn Bridge Park (NYC, USA)"
"Skanderbeg Square (Tirana, Albania)"
"Jordaan (Amsterdam, Netherlands)"
"Cycling Through Water (Genk, Belgium)"
"Berliner Innenstadt (Berlin, Germany)"
"Adult Playground (Boston, USA)"
"Vila Madalena (San Paulo, Brazil)"
"Al-Azhar Park (Cairo, Egypt)"
"Cloud Gate (Chicago, Illinois)"
"Wusong Wetland Forest Park (Shanghai, China)"
"West Lake (Hangzhou, China)"
"Spiral Treetop Walkway (Copenhagen, Denmark)"
"Level Up (Rijeka, Croatia)"
"One Arts Plaza (Dallas, USA)"
"Larimer Square (Denver, USA)"
"L'Ombriere de Norman Foster (Marseille, France)"
"National Garden (Athens, Greece)"
"Discovery Green (Houston, Texas)"
"Jai Jagat Theatre (Ahmedabad, India)"
"National War Memorial (Delhi, India)"
"Naqsh-e Jahan Square (Isfahan, Iran)"
"Piazza Maggiore (Bologna, Italy)"
"Hakone Open-Air Museum (Hakone, Japan)"
"Tenri Station Plaza CoFuFun (Tenri, Japan)"
"Streets of Korogocho (Nairobi, Kenya)"
"Luang Prabang Cycling Bike Streets (Luang Prabang, Laos)"
"Old Town of Lijiang (Lijiang, China)"
"Canary Wharf (London, UK)"
